date,ticker,open,high,low,close,volume,dividend,pe_ratio,pb_ratio,ps_ratio,eps,net_income,num_outstanding_shares,bvs,total_revenue,market_cap,rsi,sma_30,sd_30
2024-06-20,AMD,155.82,166.82,155.5,161.78,93245700,0.0,118.09,4.52,7.41,1.37,$2.23B,$1.62B,35.82,$27.75B,$205.58B,43.44,161.34,5.43
2024-06-21,AMD,161.75,163.2,157.89,161.23,61334700,0.0,117.69,4.5,7.41,1.37,$2.23B,$1.62B,35.82,$27.75B,$205.58B,42.6,161.6,5.23
2024-06-24,AMD,159.75,163.4,158.19,160.25,45954100,0.0,116.97,4.47,7.41,1.37,$2.23B,$1.62B,35.82,$27.75B,$205.58B,45.41,161.86,4.94
2024-06-25,AMD,160.73,161.0,156.45,160.25,40975300,0.0,116.97,4.47,7.41,1.37,$2.23B,$1.62B,35.82,$27.75B,$205.58B,50.4,162.14,4.58
2024-06-26,AMD,160.6,160.74,156.0,157.54,36973400,0.0,114.99,4.4,7.41,1.37,$2.23B,$1.62B,35.82,$27.75B,$205.58B,35.06,162.37,4.13
2024-06-27,AMD,157.18,160.61,156.81,159.47,34018200,0.0,116.4,4.45,7.41,1.37,$2.23B,$1.62B,35.82,$27.75B,$205.58B,37.9,162.58,3.79
2024-06-28,AMD,160.23,166.45,159.41,162.21,56204600,0.0,118.4,4.53,7.41,1.37,$2.23B,$1.62B,35.82,$27.75B,$205.58B,41.12,162.67,3.75
2024-07-01,AMD,161.25,161.51,153.64,157.69,50436700,0.0,115.1,4.4,7.41,1.37,$2.23B,$1.62B,35.82,$27.75B,$205.58B,45.41,162.5,3.86
2024-07-02,AMD,157.04,164.58,156.7,164.31,57838600,0.0,119.93,4.59,7.41,1.37,$2.23B,$1.62B,35.82,$27.75B,$205.58B,57.85,162.5,3.86
2024-07-03,AMD,164.2,165.26,162.51,163.9,26980900,0.0,119.64,4.58,7.41,1.37,$2.23B,$1.62B,35.82,$27.75B,$205.58B,55.51,162.42,3.8
2024-07-05,AMD,165.97,174.04,165.68,171.9,61857100,0.0,125.47,4.8,7.41,1.37,$2.23B,$1.62B,35.82,$27.75B,$205.58B,64.68,162.66,4.16
2024-07-08,AMD,174.9,178.95,173.22,178.69,60223400,0.0,130.43,4.99,7.41,1.37,$2.23B,$1.62B,35.82,$27.75B,$205.58B,70.11,163.1,5.07
2024-07-09,AMD,177.97,180.41,174.7,177.1,43395600,0.0,129.27,4.94,7.41,1.37,$2.23B,$1.62B,35.82,$27.75B,$205.58B,69.58,163.65,5.65
2024-07-10,AMD,179.99,187.28,177.8,183.96,90247000,0.0,134.28,5.14,7.41,1.37,$2.23B,$1.62B,35.82,$27.75B,$205.58B,78.84,164.24,6.75
2024-07-11,AMD,184.07,187.11,177.25,181.94,59231400,0.0,132.8,5.08,7.41,1.37,$2.23B,$1.62B,35.82,$27.75B,$205.58B,72.05,164.58,7.37
